                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.0316,                0.87937,                 1.2075,                0.71878,                0.69038,                 0.6968,                0.41047,                 1.6149,                  1.237,                 1.7795,             0.00017836,             0.00017836,             0.00017836
                    114,                 1.0177,                0.87693,                 1.2052,                0.81592,                0.63976,                0.71012,                0.41138,                 1.6371,                 1.2391,                 1.7951,             0.00017395,             0.00017395,             0.00017395
                    115,                 1.0213,                0.88947,                 1.2034,                0.73706,                0.66126,                0.71125,                0.40553,                 1.6146,                 1.2369,                 1.7736,             0.00016955,             0.00016955,             0.00016955
                    116,                 1.0127,                0.87115,                 1.1932,                0.68228,                0.68275,                0.71033,                0.41056,                 1.6151,                 1.2371,                 1.7748,             0.00016515,             0.00016515,             0.00016515
                    117,                 1.0197,                0.88511,                 1.2022,                0.74894,                0.65049,                0.71173,                0.39871,                 1.6085,                 1.2344,                 1.7761,             0.00016075,             0.00016075,             0.00016075
                    118,                 1.0135,                0.88087,                 1.1971,                0.85222,                0.64376,                0.71532,                0.42007,                 1.5981,                  1.199,                  1.776,             0.00015634,             0.00015634,             0.00015634
                    119,                 1.0104,                0.87305,                 1.1941,                0.66661,                0.67804,                0.70087,                0.41145,                 1.6064,                 1.2355,                 1.7836,             0.00015194,             0.00015194,             0.00015194
                    120,                0.98673,                0.86963,                 1.1837,                0.75757,                0.66976,                0.70968,                0.41019,                 1.6199,                 1.2298,                 1.8015,             0.00014754,             0.00014754,             0.00014754
                    121,                0.99302,                 0.8616,                 1.1873,                 0.7395,                  0.679,                0.71613,                0.40813,                 1.6091,                 1.2422,                 1.7869,             0.00014314,             0.00014314,             0.00014314
                    122,                0.99295,                0.85089,                 1.1861,                0.72712,                0.67044,                0.70635,                0.41295,                 1.6106,                  1.216,                    1.8,             0.00013874,             0.00013874,             0.00013874
                    123,                0.98182,                0.85032,                 1.1814,                0.77613,                0.67225,                0.73272,                0.42116,                 1.6095,                 1.2261,                 1.7954,             0.00013433,             0.00013433,             0.00013433
                    124,                  0.977,                0.83287,                 1.1824,                0.73422,                0.67818,                0.71904,                0.41754,                 1.6142,                 1.2107,                 1.7943,             0.00012993,             0.00012993,             0.00012993
                    125,                0.97482,                0.82541,                  1.175,                0.75823,                0.71436,                0.73764,                0.42191,                 1.6098,                 1.2193,                 1.7948,             0.00012553,             0.00012553,             0.00012553
                    126,                0.98201,                0.84693,                 1.1864,                0.71077,                0.66453,                 0.6914,                0.40589,                 1.6324,                 1.2325,                 1.8197,             0.00012113,             0.00012113,             0.00012113
                    127,                0.97252,                0.82425,                 1.1805,                0.70628,                0.67093,                0.69386,                0.39883,                 1.6362,                 1.2314,                 1.8075,             0.00011672,             0.00011672,             0.00011672
                    128,                0.98435,                0.84457,                 1.1765,                0.70414,                0.68004,                0.69523,                0.40264,                 1.6369,                 1.2395,                 1.8162,             0.00011232,             0.00011232,             0.00011232
                    129,                0.96085,                0.82987,                 1.1723,                0.74237,                0.68084,                0.71124,                0.40522,                 1.6333,                 1.2338,                 1.8191,             0.00010792,             0.00010792,             0.00010792
                    130,                0.96972,                0.82745,                 1.1688,                0.71312,                0.65381,                0.70473,                0.40721,                 1.6179,                 1.2255,                 1.8153,             0.00010352,             0.00010352,             0.00010352
                    131,                0.97141,                 0.8365,                 1.1726,                0.74261,                0.67473,                0.71156,                 0.4162,                 1.6204,                 1.2245,                 1.8104,             9.9116e-05,             9.9116e-05,             9.9116e-05
                    132,                0.96133,                0.81834,                 1.1719,                0.72927,                0.67441,                0.69823,                0.40003,                 1.6442,                 1.2386,                 1.8404,             9.4714e-05,             9.4714e-05,             9.4714e-05
                    133,                0.95394,                0.80757,                 1.1598,                0.70242,                0.66349,                0.69311,                0.40727,                 1.6339,                 1.2169,                 1.8464,             9.0312e-05,             9.0312e-05,             9.0312e-05
                    134,                0.94375,                0.79209,                  1.161,                0.65513,                0.68911,                0.69996,                0.40939,                 1.6511,                 1.2258,                 1.8541,              8.591e-05,              8.591e-05,              8.591e-05
                    135,                0.94003,                0.79808,                 1.1644,                0.77846,                0.67191,                0.71872,                0.42167,                 1.6448,                 1.2067,                 1.8478,             8.1507e-05,             8.1507e-05,             8.1507e-05
                    136,                0.95189,                0.80269,                 1.1617,                0.70915,                0.69023,                0.71296,                0.41111,                 1.6491,                 1.2063,                 1.8565,             7.7105e-05,             7.7105e-05,             7.7105e-05
                    137,                0.93139,                0.79002,                 1.1478,                0.70742,                0.68972,                0.71425,                0.41576,                 1.6481,                 1.2214,                 1.8659,             7.2703e-05,             7.2703e-05,             7.2703e-05
                    138,                0.94837,                0.78571,                 1.1585,                0.70684,                0.68585,                0.71303,                0.41963,                 1.6418,                 1.1991,                 1.8661,             6.8301e-05,             6.8301e-05,             6.8301e-05
                    139,                0.93833,                0.79883,                 1.1574,                0.70526,                0.68769,                0.71019,                  0.416,                 1.6475,                 1.2094,                 1.8629,             6.3899e-05,             6.3899e-05,             6.3899e-05
                    140,                0.93653,                0.79776,                 1.1565,                0.72781,                0.68874,                0.71183,                0.42002,                 1.6485,                 1.2019,                 1.8653,             5.9496e-05,             5.9496e-05,             5.9496e-05
                    141,                0.89039,                0.66811,                 1.1659,                0.72843,                0.65341,                0.68771,                0.40413,                 1.6598,                 1.2338,                 1.8913,             5.5094e-05,             5.5094e-05,             5.5094e-05
                    142,                0.83662,                0.60235,                 1.1293,                0.72909,                0.66791,                0.69242,                0.40824,                 1.6377,                 1.2252,                 1.8668,             5.0692e-05,             5.0692e-05,             5.0692e-05
                    143,                0.84233,                0.59439,                 1.1392,                 0.7347,                0.66867,                0.70091,                0.41354,                 1.6356,                 1.2242,                 1.8606,              4.629e-05,              4.629e-05,              4.629e-05
